text,label
Saya berasa pelik pada hari yang lain dan ia pergi kira -kira beberapa minit selepas saya mengambil metformin saya,2
Apabila rakan menjatuhkan katak ke leher saya,3
Saya berasa marah pada seseorang yang saya lakukan sesuatu yang bijak untuknya dan perasaan saya terhadapnya yang melembutkan,3
Saya suka mengabaikan blog ini tetapi kadang -kadang saya merasakan pembaca yang setia,4
Saya berbaring di tempat tidur seolah -olah saya sedang menunggu pengunjung yang tidak diingini namun saya memberitahu diri saya bahawa saya kuat dan memikirkan perkara yang baik sehingga saya merasa lebih baik,0
Saya merasakan hati saya diseksa dengan apa yang telah saya lakukan,3
Saya masih berasa menangis dan tersentuh sehingga Maggie merawat saya ke ais krim dan filem href http www,0
saya rasa memerlukan tetapi selesa dengannya saya berasa terdedah tetapi selamat saya merasakan keinginan untuk merangkap keras tetapi saya tidak mendapat bantuan,0
Saya jurnal tentang kecenderungan saya kadang -kadang terlalu banyak yang boleh membuatkan saya berasa letih dan terharu,0
Saya mula berasa kecewa pagi ini,0
Saya merasa gelisah dengan diri saya bahawa saya tidak meramalkan kekecewaannya sebelum ini membawa kepada penghujung hubungan kita,2
saya ambil dari udara bingkai lancarnya terasa sejuk ke sentuhan,3
Saya marah pada teman lelaki saya yang telah berjanji akan datang untuk melihat saya tetapi tidak kerana dia menghabiskan waktu petang dengan rakannya,3
saya benci bahawa saya duduk di sini di asrama menulis ini dan merasa sangat baik dan daripada saya pulang ke rumah dan saya dan masalah saya dan dinding,1
saya bersenam saya merasa bertenaga dan saya dapat melaksanakan tugas saya yang lain dengan cara yang sangat baik,1
Saya melihat mabel pagi ini saya menamakan payudara kiri saya yang kanan saya adalah hazel dan saya merasakan campuran kemarahan dan kerugian yang aneh ini menulis kurang dari sebulan selepas diagnosisnya,2
Saya berasa sangat kecewa dengan segala -galanya,0
Saya merasakan bahawa input dari saya akan dinilai sebagai kurang kuat daripada mengatakan bahawa Irfan Pathan,1
saya rasa dia murah hati,4
saya juga merasa goyah,2
Saya berasa lebih baik walaupun saya tidak membunyikannya,1
Saya selalu berasa bermasalah ketika kita berada di jalan raya yang tinggal di van atau lebih baru -baru ini di bas sarkas tidak ada tempat untuk menggantung topi saya sebagai lagu lirik memilikinya,0
Saya merasakan dunia kita kemudian adalah tempat yang lebih tidak bersalah,1
Saya berasa sangat baik walaupun perjalanan harian ke kompos bukan pengalaman yang paling menyenangkan,1
Saya tidak merasakan apa -apa yang mencurigakan,2
Saya berasa sedikit sentimental hari ini,0
Saya rasa saya tahu siapa yang kebanyakan mereka berada sekarang dan saya mula mengembangkan suka dan tidak suka saya walaupun saya tidak berminat dengan pengusiran snap yang mereka nampak cukup sia -sia pada saya sehingga mereka tidak akan terlepas,1
Saya berasa kurang enak sejak matahari terbenam di kawasan SF,0
Menjadikan kawan baru yang indah,1
Saya berasa hampir malu untuk menyebutkan satu redshank tunggal dan sandpiper biasa tetapi di sana lagi yang tidak mahu menyebut sandpiper kayu tunggal yang hadir di tepi perairan,0
saya tahu mudah untuk merasa sedikit iri hati saya dan saya tidak dapat memberitahu anda bahawa anda tidak sepatutnya,3
Saya akan berasa dahsyat jika dia berada di sini sepanjang masa,0
Saya berasa sangat menyesatkan oleh seseorang yang saya benar -benar fikir saya tahu dan sangat menyukainya,4
Saya rasa kita ditakdirkan manusia,0
Saya mesti menyemak hanya dalam beberapa minit tetapi ada jam ini di atas skrin yang terus menelan minit -minit yang saya tinggalkan sehingga saya berasa agak panik,2
"saya tidur tetapi jika saya boleh memilih untuk tidak terbangun dengan penggera, saya pasti mengambil apa -apa yang membuatkan saya berasa sangat goyah",0
Saya telah membosankan selama beberapa minggu dan merasa sedikit suram pada hari -hari hujan,0
Saya merasakan bahawa maklumat ini penting untuk bergerak dengan hari anda dan anda tidak lengkap sehingga anda membacanya,1
Saya berasa murah hati hari ini satu lagi yang mungkin anda lihat tetapi bagus untuk ketawa,4
Saya akan merasa janggal hanya memanggil salah satu daripada orang -orang ini keluar dari biru untuk melepak atau lebih akrab dengan mereka pada tahap yang lebih mendalam mereka bukan kith dan kerabat saya,0
saya tidak suka perasaan yang saya dapat ketika seseorang bahkan sedikit tersinggung dengan beberapa ucapan yang saya buat,3
saya membuatnya runtuh tetapi terima kasih kerana merasakan perlu memberitahu saya bahawa saya adalah orang yang kacau,3
"Saya mengawal pertumbuhan perniagaan ini dan setiap kali saya menyiarkan kerja untuk pelanggan, saya merasa lebih bertekad untuk menjadikannya perniagaan sepenuh masa suatu hari nanti",1
Saya hamil dengan dekan saya menghabiskan sisa kehamilan saya merasa ketakutan untuk mempunyai bayi yang lain,2
Saya benar -benar merasa gelisah yang membawa kepada hari yang dahsyat semalam di mana saya tidak dapat menumpukan perhatian pada apa -apa dan pada dasarnya memusnahkan hari,3
saya mempunyai ed saya akan memberitahu anda bahawa saya tahu saya tidak boleh berasa malu untuk makan bar protein untuk sarapan pagi dan hakikat bahawa saya makan satu bukan apa yang membuat saya memalukannya Kepala saya dan Tuck Tail,0
Saya berasa berseri terang dan gembira,1
saya rasa magnet peti sejuk yang begitu popular beberapa tahun yang lalu,1
Saya berasa sangat sentuhan dengan semua yang telah berlaku,0
Saya berasa bimbang mengenainya tetapi juga sangat teruja,2
Saya berasa sangat santai ketika saya menaiki Airbus yang sangat baru dan menuju ke langit yang kabur dalam perjalanan ke Honolulu,1
Saya seorang yang tenang tetapi apa yang saya katakan saya rasa penting,1
saya rasa saya mula merasakan sedikit rindu,0
Saya berasa bersemangat untuk mula melakukan kerja lelaki yang bekerja di sana secara literal mengatakan jadi uhm kalian mahu masuk dan melihat apakah kita dapat mencari apa -apa kaitan,1
Saya berasa tidak selesa kerana saya mempunyai sangkar tulang rusuk yang lebih kecil dan dada yang lebih besar sama ada saya menumpahkan bahagian atas tangki atau sokongan band elastik terlalu ketat atau terlalu longgar,2
Saya berasa enggan keluar dari pangsapuri saya yang baru dibersihkan yang saya dapat dibersihkan lewat malam tadi,2
Saya merasakan bahawa saya perlu tahu bahawa saya boleh bergantung pada diri saya sebelum saya meletakkan diri saya dalam kedudukan menyokong orang lain dan disokong oleh orang lain,4
Saya berasa agak marah dan tidak terkawal,0
Saya berusaha sedaya upaya untuk mencintai mereka memberikan sedikit cahaya tetapi saya merasa sangat penuh kasih sayang dengan masalah mereka dan menyakiti walaupun seseorang di media,4
Saya sangat tidak selesa dan berasa pelik tetapi tidak pasti jika mereka adalah kontraksi kerana saya tidak pernah merasakan kontraksi dengan Jared sehingga mereka menjatuhkan saya dengan pitocin,5
Saya berasa suram dan letih,0
Saya sangat suka orang ini merasakan bahawa soalan itu benar -benar ditanya dari tempat cinta dan keprihatinan yang ikhlas tentang bagaimana untuk bergerak ke hadapan memandangkan kajian seksualiti baru -baru ini href http www,1
Saya akan memaksa diri untuk makan makanan bersih rutin biasa sehari tetapi kemudian saya mula merasa sangat mengerikan,0
Saya berasa lebih istimewa untuk menyaksikan lelaki yang hebat dalam tindakan itu benar -benar mustahil bagi seorang pemula seperti saya untuk bekerja hanya salah satu daripada empat penunggang yang sama seperti dia,1
saya rasa seperti saya di spa mendapat wajah yang indah ketika saya menggunakannya,1
Saya berasa kecil secara tiba -tiba,3
"Saya harap anda menyukai amp blog amp amp amp yang lebih jujur ​​ini jika anda merasa tidak berpuas hati, saya harap ini membuatkan anda berasa kurang bersendirian",0
Saya berasa sedikit jijik juga,3
Saya agak terkejut dengan cuaca beberapa hari yang lalu tetapi saya sangat bersyukur kerana itu kerana saya masih boleh memakai seluar pendek saya tanpa merasakan sejuk ya tidak bercanda,3
Saya berasa sedikit santai,1
Saya berasa malu untuk mengakui bahawa saya sedang berjuang untuk mengangkut komputer tunggal,2
saya hanya membuat skrip saya adakah anda suka mustard atau sos dengan itu dan mula berasa sangat terkejut,2
"Saya menikmati rakan sekerja saya, saya tidak berasa sangat bergaul",1
Saya rasa dan jika saya suka hamil,4
Saya kemudian merasakan sentuhan lembut anda semasa anda memelihara saya dengan cintanya,4
Saya kehilangan beberapa orang yang saya benci kerana saya mempunyai masa yang sangat sukar untuk melepaskan orang yang saya rasa setia,4
"Saya tidak mempunyai minat sama sekali untuk berusaha untuk bertemu dengan lelaki dan apabila peluang tiba, saya kemudian merasa dibebani dengan pemikiran negatif dia akan menjadi satu lagi orang bodoh hanya selepas satu perkara",0
saya rasa saya juga menyokongnya,4
saya berasa tidak sabar saya hanya menghantar entri blog dan saya rasa saya mendapat beberapa perkataan yang ditulis dan keluar ke dunia,3
Saya berusaha keras sehingga saya dapat ke tempat di mana saya dapat menyertai anda dan akhirnya merasa seperti saya mempunyai sesuatu yang berbaloi,1
Saya harus mengakui saya merasa geli apabila saya melihat pti jamiat dan banyak orang lain dalam media cuba mengelakkan cadangan bahawa mereka sebenarnya memprotes penggunaan sharia dalam kes pelepasan Raymond Davis,1
Saya berasa malu sehingga menjadi sangat teruk,0
Saya berasa sangat pahit mengenai perkara ini,3
Saya berasa berani hari ini menuju ke Amman dan Beirut dengan cara Istanbul atau saya merasa berani hari ini href http jessicadickongoodman,1
Saya mempunyai Krismas yang hebat dan tahun baru yang luar biasa dengan keluarga dan rakan -rakan saya dan menentang semua kemungkinan saya merasa sangat optimis mengenai,1
saya rasa seperti orang yang kalah semua mengatakan bahawa mereka hilang tetapi saya tidak tahu betul di mana saya saya benci berada di sini oh,0
saya rasa kalah tetapi yang lain saya rasa segar,0
Saya berasa sangat terdedah di kawasan tertentu jadi saya mula bercakap dengan rakan -rakan saya dan cukup menarik ada pemahaman yang luar biasa mengenai perjuangan saya,2
Saya pergi ke halaman peringatan pegawai dan merenungkan perasaan saya tentang pegawai yang indah itu yang nampaknya membuat saya merasa sedikit lebih baik,1
Saya dengan sekumpulan orang yang saya masih merasa terpencil dan di luar mencari,0
Saya berasa diberkati untuk mengetahui keluarga ini,4
Saya berasa ketakutan kerana tuan tanah saya belum mengubah kunci kami,2
Saya kehilangan tetapi saya rasa saya mempunyai banyak kongsi dengan banyak dan jika ada yang tidak malang jika ada yang membuat saya bersyukur,0
saya tidak suka makan makanan yang terasa terlalu mulia,1
Saya meninggalkan perasaan gembira kerana sekurang -kurangnya membuang nama saya di topi,1
Saya berasa agak pelik apabila Andrea cuba bercakap dengan saya mengenai Chris,2
Saya suka tentang Ellie adalah bahawa dia tidak merasa dihina oleh semua perkara yang kasar,3
saya rasa cukup berjaya,1
Saya menikmati pengasingan bersendirian saya di rumah saya jarang merasa kesepian,0
Saya terlalu dramatik tetapi saya berasa sangat kuat untuknya dan saya memutuskan untuk bercakap dengan peluang seterusnya yang saya dapat,1
saya benar -benar tidak suka quinn kerana saya rasa dia akan akhirnya mencederakan barney dan saya membenci jalan cerita ted robin yang lumpuh,3
Saya berasa sangat buruk tetapi saya tidak seharusnya memberi tumpuan kepada saya sekarang,0
"saya tidak ingat pernah merasa sangat letih, ia mengambil perjalanan dengan kereta pada hari terakhir untuk mendapatkan segala -galanya yang dibawa ke treler",0
Saya menulis dua tahun yang lalu begitu banyak perkara yang saya rasa tidak pasti,2
Saya merasa curiga terhadap informal dan kekurangan kelayakan,2
Saya menerima setiap bulan membuat saya bangga dan merasa menghargai,1
Saya merasakan keadaan ketiga cukup merangkumi perasaan saya ke arah tajuk ini,1
Saya mahu merasakannya di tangan saya dan menghulurkan tangan untuk membawanya ke mulut saya yang menunggu,1
saya berasa lebih lembut seperti itu,4
Saya pulang ke rumah berasa panas letih dan hebat,4
Saya berasa lebih kreatif,1
saya berasa sangat berbakat sehingga dapat menggunakan komputer,1
Saya berasa tidak selesa kerana mempunyai kehamilan yang sihat setakat ini,1
Saya ingin tahu sama ada saya harus merasa bersimpati terhadap syarikat penerbangan Amerika jika mengatakan pesawat mereka terbakar atau juruterbang mereka telah meletup atau sama ada saya harus membakarnya jika mengatakan mereka hanya memutuskan untuk berjalan dengan kewajipan mereka untuk menjimatkan wang,4
saya tidak mahu mereka berasa begitu tertekan,2
Saya masih merasa takut di dunia namun tidak ada tempat yang hampir sama seperti dulu,2
Saya tidak berasa lembut,1
Saya bangun terlalu awal jadi saya berasa marah,3
Saya percaya anda semua akan datang ke tempat kerja saya dan hanya cuba membuat saya merasa dihina tetapi anda tahu apa yang jauh di dalam hati saya tahu siapa yang harus malu dengan diri mereka sendiri,0
Saya akhirnya mendapatkannya jika anda tidak ketawa membuatkan saya berasa gembira dan sangat istimewa,1
Saya ingat ini saya berasa ragu -ragu,2
Saya mempunyai beberapa matlamat yang cukup cerah dan setiap hari saya berasa lebih kuat dan lebih yakin bahawa saya akan mencapai hasil akhir yang saya inginkan,1
Saya merasa kotor bercakap dengan orang untuk mendapatkan keuntungan peribadi saya,0
"saya duduk di sana sejuk, saya kembali ke klasik hoki bandar dan cuaca darjah dan ia berasa seperti sejuk walaupun terdapat perbezaan darjah malam ini",3
Saya berasa kebas ketika saya meneruskan dan saya tertanya -tanya apakah saya akan mengatasinya,0
Saya agak dipaksa ke dalam ulasan blog ini jadi saya rasa agak bergegas dan bingung,3
Saya rasa saya tidak akan berasa terlalu cemburu kerana saya sering melakukan ibu saya di kolam tetapi senang mempunyai suami lagi,3
Saya tidak pasti bagaimana perasaan saya untuk bersenam untuk mengekalkan sikap yang menyenangkan,1
Saya berasa cemas,2
saya rasa saya mahukan penonton berasa terinspirasi atau dihiburkan ketika berada di atas pentas,5
Saya tidak sihat pagi semalam sehingga saya hanya meletakkan di atas katil dan berakhir di lubang hitam YouTube yang terlalu akrab,1
Saya mempunyai perasaan yang dahsyat ini yang saya hyped diri saya menjadi lebih berbakat daripada saya,1
saya mengambil cabaran setengah maraton maka saya akan menunggu dan melihat bagaimana badan merasakan sama ada akan ada percubaan PB atau kiasan kilometer kasual,1
Saya tidak dapat membantu tetapi berasa marah di kedua -dua belah perdebatan dan dikotomi yang tidak perlu itu sendiri,3
Saya rasa saya tidak dapat dihormati jika saya menghormati diri kerana ia begitu kerap hingga sekarang membenci diri anda,1
Saya tersenyum kepadanya merasakan kerinduannya dan berkata mungkin kawan nanti tetapi saya perlu makan tengah hari sekarang,4
Saya benar -benar malangnya majoriti masa saya biasanya dikeringkan tetapi saya mendapat sukar untuk mendapatkan dari tempat tidur saya benar -benar merasa gelisah dan yang lain,2
Saya berasa agak rosak,0
Saya katakan saya berasa jelek hari ini,0
Saya meninggalkan garmin saya di atas basikal saya jadi saya harus melakukan ini dengan merasa keluar dari peralihan sorakan pendengaran yang luar biasa dan adrenalin anda hanya gila,1
Saya berasa sangat pintar apabila saya mencari cara untuk menipu diri saya seperti ini,1
Saya suka menari tetapi sering merasa dihalang oleh badan saya sendiri yang tidak pasti apa yang saya mampu bersungguh -sungguh terhadap orang lain yang memerhatikan saya dan mempunyai pendapat mengenai gaya saya atau hanya merasa janggal seolah -olah saya tidak tahu apa yang sepatutnya saya lakukan di sini,2
Saya rasa kad adalah perkara yang sempurna untuk dibuat dengan mereka,1
Saya rasa seperti beberapa heroin dari beberapa manga yang tragis,0
Saya hanya merasa lebih selamat daripada bekerja sambilan di HR,1
saya diserang hendap lagi nampaknya salah saya lagi saya merasa tidak berharga,0
Saya merasa istimewa untuk menjadi sebahagian daripada sesuatu yang kekal dan sangat berharga kepada Tuhan Yesus dia menumpahkan darahnya sehingga gereja -gereja seperti ini dapat wujud,1
Saya merasa tidak mencukupi untuk tugas saya,0
Saya mempunyai perasaan ini agak nakal mengimbas artikel dari majalah tetapi saya tahu bahawa begitu banyak orang yang suka membaca ini,4
"Saya melihat anda di pitchers mound di berlian liga kecil kami, saya berasa sangat cemas untuk anda kerana ia kelihatan begitu terpencil di sana",2
Saya berasa seperti saya menyertai orang ramai yang menentang pemberontakan saya tentang mentaliti popular yang saya jadi goth tetapi saya mengambil aman dengan mengetahui bahawa saya tidak membuat resolusi yang sama seperti orang lain,1
Saya merasa kecewa dengan ghaib jadi saya merasakan hubungan yang lebih besar ke bumi,0
Saya rasa bodoh apabila ini berlaku,0
"Saya pulang dan merasa sangat buruk, saya tidak dapat membawa diri saya untuk melakukan semua kerja yang perlu saya lakukan",0
Saya rasa kulit kombinasi sensitif saya akhirnya bertemu dengan perlawanan,3
saya suka walaupun di atas tetapi membuat saya merasa pandai dengan persatuan,1
Saya akan mengamalkan meditasi jika saya merasa terharu dan diharapkan dapat berjaya dalam amalan aman,5
saya rasa semuanya sia -sia tidak betul dan merasakan ini salah hati ini hanya,0
Saya harap semua orang dapat membantu kerja amal tanpa merasa tertekan dengan perkara -perkara seperti itu,0
Saya berasa sangat bersalah kerana meletakkan anak saya di penjagaan anak,0
Saya kecewa bahawa isu -isu yang tidak dapat diselesaikan dari masa lalu saya mempunyai kesan negatif yang teruk terhadap tingkah laku saya dan merasakan dia mesti marah kerana saya belum menyelesaikannya sekarang,3
Saya merasa diberkati di luar diberkati untuk berkongsi hidup saya dengan anda setiap minggu,4
"Saya merasa hancur atas perkara yang saya telah hilang, saya akan mengingatkan diri saya untuk bersyukur atas apa yang masih saya miliki",0
Saya berasa bertenaga,1
Saya telah memahami bahawa perasaan tidak positif atau negatif,1
saya tidak suka ditanya mengenai sebab di sebalik mood saya ketika saya berasa ketawa suram,0
Saya berasa sangat peduli tentang kekurangan masa saya dapat mencari inspirasi,3
Dulu saya dapat berbincang dengan juruwang ketika saya menanggalkan wang saya sekarang saya merasa tergesa -gesa dan menekankan jika saya mengambil satu saat untuk meraba -raba dengan duit syiling dan memasukkannya ke dalam dompet saya,3
Saya berasa kecewa atau dunia di sekeliling saya hancur saya hanya pergi dan berjalan dalam hujan sehingga tidak ada badan yang dapat melihat mata saya penuh air mata ini adalah sistem penyampaian keadilan seperti yang dikonseptualisasikan oleh mahkamah kita yang kita belajar dengan cara yang sukar,3
Saya menyedari apa yang saya gemari untuk membantu wanita merasa diterima dan dihargai,1
Saya dapat mengubah penekanan dan mengatakan bahawa saya Stella dan saya perhatikan saya berasa tidak sabar,3
Saya tidak suka penyumberan luar kerana saya adalah sod yang pilih -pil,3
Saya berasa sangat diberkati dan dihormati bahawa kita menjadi ibu bapanya,4
saya berasa disambut tetapi agak pelik,1
Saya rasa saya menghiburkan SD sepanjang hari,1
Saya telah berjuang dengan kuat melalui hari ini dan walaupun saya merasa rosak dan letih dan tidak dimotivasi masih saya tidak akan tidur sebelum sebelas tiga puluh,3
